ticker,rank,becoming_score_mean,becoming_score_median,becoming_score_std,total_return_mean,sharpe_mean,max_drawdown_mean,accuracy_mean,win_rate_mean,becoming_score_count
MGC=F,1,0.184,0.17,0.084,0.939,0.1,-0.151,0.405,0.552,9
SIL=F,2,0.12,0.119,0.062,0.756,0.062,-0.246,0.389,0.531,9
MNQ=F,3,0.014,-0.017,0.11,0.175,0.059,-0.243,0.389,0.57,9
MES=F,4,0.007,-0.027,0.108,0.089,0.055,-0.191,0.378,0.558,9
MYM=F,5,-0.019,-0.041,0.085,0.03,0.034,-0.181,0.327,0.526,9
M2K=F,6,-0.036,-0.089,0.148,0.014,0.04,-0.233,0.304,0.52,9
ETH=F,7,-0.077,-0.164,0.194,0.296,0.039,-0.636,0.248,0.495,9
BTC=F,8,-0.147,-0.135,0.053,-0.191,-0.004,-0.475,0.254,0.487,9
NG=F,9,-0.176,-0.192,0.068,-0.208,-0.006,-0.577,0.234,0.469,9
CL=F,10,-0.177,-0.187,0.088,-0.226,-0.036,-0.381,0.193,0.474,9
